('Episode: 174', 'Reward: 380.0', 'Loss: 1.66484332085', 'Explore P: 0.1000')
('Episode: 175', 'Reward: 1190.0', 'Loss: 3.33539366722', 'Explore P: 0.1000')
('Episode: 176', 'Reward: 640.0', 'Loss: 1.66392922401', 'Explore P: 0.1000')
('Episode: 177', 'Reward: 540.0', 'Loss: 8.19228839874', 'Explore P: 0.1000')
('Episode: 178', 'Reward: 2530.0', 'Loss: 2.01964473724', 'Explore P: 0.1000')
('Episode: 179', 'Reward: 880.0', 'Loss: 1.94291710854', 'Explore P: 0.1000')
('Episode: 180', 'Reward: 540.0', 'Loss: 3.35397076607', 'Explore P: 0.1000')
('Episode: 181', 'Reward: 460.0', 'Loss: 3.76782178879', 'Explore P: 0.1000')
('Episode: 182', 'Reward: 420.0', 'Loss: 5.31200218201', 'Explore P: 0.1000')
('Episode: 183', 'Reward: 280.0', 'Loss: 1.89503598213', 'Explore P: 0.1000')
('Episode: 184', 'Reward: 380.0', 'Loss: 2.33769154549', 'Explore P: 0.1000')
('Episode: 185', 'Reward: 830.0', 'Loss: 2.61649799347', 'Explore P: 0.1000')
('Episode: 186', 'Reward: 1620.0', 'Loss: 1.84736275673', 'Explore P: 0.1000')
('Episode: 187', 'Reward: 620.0', 'Loss: 3.18985009193', 'Explore P: 0.1000')
('Episode: 188', 'Reward: 720.0', 'Loss: 2.55644369125', 'Explore P: 0.1000')
('Episode: 189', 'Reward: 1120.0', 'Loss: 2.5186650753', 'Explore P: 0.1000')
('Episode: 190', 'Reward: 320.0', 'Loss: 2.62434530258', 'Explore P: 0.1000')
('Episode: 191', 'Reward: 840.0', 'Loss: 4.01886749268', 'Explore P: 0.1000')
('Episode: 192', 'Reward: 340.0', 'Loss: 1.72358846664', 'Explore P: 0.1000')
('Episode: 193', 'Reward: 480.0', 'Loss: 1.94604802132', 'Explore P: 0.1000')
('Episode: 194', 'Reward: 1210.0', 'Loss: 3.69869279861', 'Explore P: 0.1000')
('Episode: 195', 'Reward: 1090.0', 'Loss: 2.4890165329', 'Explore P: 0.1000')
('Episode: 196', 'Reward: 560.0', 'Loss: 1.48190665245', 'Explore P: 0.1000')
('Episode: 197', 'Reward: 240.0', 'Loss: 4.72751522064', 'Explore P: 0.1000')
('Episode: 198', 'Reward: 380.0', 'Loss: 6.84661817551', 'Explore P: 0.1000')
('Episode: 199', 'Reward: 240.0', 'Loss: 2.46555924416', 'Explore P: 0.1000')
('Episode: 200', 'Reward: 1030.0', 'Loss: 4.00317621231', 'Explore P: 0.1000')
Model Saved
('Episode: 201', 'Reward: 780.0', 'Loss: 4.98728847504', 'Explore P: 0.1000')
('Episode: 202', 'Reward: 1280.0', 'Loss: 3.06780219078', 'Explore P: 0.1000')
('Episode: 203', 'Reward: 500.0', 'Loss: 5.69837188721', 'Explore P: 0.1000')
